Run Number: 207 Desired Peak Position: 78.355
Module   Target HV   Stat   ErrStat   Peak Pos   ErrPPos   Peak Width   ErrPWid   NGoodEvents    Flag 
   24     7245.11      133.17       26.74        0.47       12.70        0.36     6235.00      0.0000        Good
   25     3737.82       83.15       32.41        1.01       25.06        0.86     7411.00      0.0000        Good
   26    12558.13     2851.21      -21.83       15.47       22.80        0.69     9394.00        -nan        Good
   27     8070.36      127.69       34.54        0.37       13.46        0.25     7589.00      0.0000        Good
   28     7311.96      118.66       30.93        0.74       22.01        0.86     9339.00      0.0000        Good
   29     6103.08      109.20       32.97        0.45       13.57        0.29     5767.00      0.0000        Good
   30        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
   31     3418.85       87.60       23.01        2.93       28.47        3.05     5535.00      0.0000        Good
   32        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
   33     6297.78       92.18       30.54        1.07       24.91        0.84     9488.00      0.0000        Good
   34        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
   35        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   36        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
   37     8879.51      127.65       38.96        0.48       17.64        0.38     9731.00      0.0000        Good
   38    13448.15      173.13       39.93        0.43       14.44        0.33    13803.00      0.0000        Good
   39     6784.67       92.28       51.48        0.62       22.58        0.42    10590.00      0.0000        Good
   40     6227.77       99.20       40.05        0.54       17.86        0.37     7922.00      0.0000        Good
   41        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   42        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
   43        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   44        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   45     9678.78      129.20       47.73        0.51       18.34        0.40    11626.00      0.0000        Good
   46    12953.73      166.76       40.84        0.43       14.47        0.32    10762.00      0.0000        Good
   47        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
   48     8440.28      125.12       33.05        0.42       15.33        0.30     8668.00      0.0000        Good
   49     9120.74      109.46       49.53        0.55       21.25        0.37    12498.00      0.0000        Good
   50    10428.24      122.88       48.47        0.59       23.96        0.49    15386.00      0.0000        Good
   51    11753.01      152.51       41.55        0.36       15.70        0.29    13616.00      0.0000        Good
   52    12194.49      169.02       38.16        0.39       13.36        0.30     9894.00      0.0000        Good
   53     6493.35       96.11       45.31        0.61       20.26        0.43     8861.00      0.0000        Good
   54        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
   55     8243.27      116.70       42.02        0.84       24.97        0.87    11008.00      0.0000        Good
   56    21554.72      241.26       33.36        0.22       10.95        0.16    16238.00      0.0000        Good
   57    13557.10      148.52       50.70        0.48       19.36        0.36    16536.00      0.0000        Good
   58    13946.09      159.71       45.14        0.35       16.11        0.26    14533.00      0.0000        Good
   59     8379.96      103.48       46.74        0.51       23.21        0.40    13025.00      0.0000        Good
   60        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   61     8194.68      121.26       45.62        0.52       17.51        0.41    10470.00      0.0000        Good
   62    10247.62      129.44       49.93        0.48       18.93        0.36    12863.00      0.0000        Good
   63    11037.90      155.26       40.78        0.49       14.67        0.37    11294.00      0.0000        Good
   64     7805.69      105.59       45.18        0.73       26.96        0.76    12407.00      0.0000        Good
   65     9385.14      127.24       39.31        0.42       15.80        0.28     9469.00      0.0000        Good
   66     8478.72      123.55       35.22        0.38       14.60        0.26     8433.00      0.0000        Good
   67    16090.52      222.15       39.36        0.26       11.21        0.24    14295.00      0.0000        Good
   68     7780.75       91.32       79.98        0.63       28.44        0.48    14263.00      0.0000        Good
   69     8245.12       89.20       66.84        0.75       29.91        0.50    15137.00      0.0000        Good
   70     8967.37       99.12       58.72        0.56       25.45        0.39    14771.00      0.0000        Good
   71     8823.47      113.80       42.71        0.47       19.46        0.34    11337.00      0.0000        Good
   72     9034.97      200.18        8.27        1.73       13.19        0.51     7769.00      0.0000        Good
   73     9181.10      149.85       20.56        0.68       17.45        0.60    10941.00      0.0000        Good
   74     3751.24       47.33      100.68        1.11       55.76        0.88    16435.00      0.0000        Good
   75    11871.84      204.19       21.52        0.27       10.92        0.24    10161.00      0.0000        Good
   76     7093.19      114.74       36.46        0.62       20.58        0.56     9502.00      0.0000        Good
   77   869084.22   341378.78      -44.08        1.59        2.75        0.52     9432.00        -nan        Good
   78     9447.36      145.24       35.72        0.31       12.31        0.22     8777.00      0.0000        Good
   79    10404.95      145.53       41.04        0.38       15.40        0.31    11780.00      0.0000        Good
   80    14278.67      211.11       40.05        0.25       10.52        0.22    10593.00      0.0000        Good
   81        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   82    11853.35      187.31       41.40        0.31       11.61        0.28    10516.00      0.0000        Good
   83    12513.77      215.88       19.94        0.27        8.44        0.19     7432.00      0.0000        Good
   84     8776.83      121.87       36.91        0.48       16.67        0.33     9828.00      0.0000        Good
   85    10091.83      128.13       50.12        0.74       25.85        0.71    14766.00      0.0000        Good
   86    11227.82      116.63       54.87        0.53       23.18        0.35    16768.00      0.0000        Good
   87     8213.06      116.18       43.38        0.42       17.09        0.29     9709.00      0.0000        Good
   88        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   89     6253.50      102.63       41.40        0.57       18.80        0.45     7881.00      0.0000        Good
   90    11840.16      177.65       33.69        0.27       10.22        0.19     8581.00      0.0000        Good
   91    13941.79      147.14       23.30        0.66       17.78        0.37    17220.00      0.0000        Good
   92    10530.21      146.61       42.02        0.35       14.56        0.26    10527.00      0.0000        Good
   93        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   94     9368.53      124.53       49.29        0.69       24.34        0.65    13348.00      0.0000        Good
   95    21571.25      327.39       16.36        0.18        6.62        0.13    10111.00      0.0000        Good
   96        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   97     9737.51      168.91       41.27        0.33       11.26        0.29     8497.00      0.0000        Good
   98        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   99     7504.40      103.69       49.73        0.53       19.55        0.36     9343.00      0.0000        Good
  100    13866.89      174.39       40.33        0.38       14.03        0.30    12862.00      0.0000        Good
  101    11914.94      172.57       35.88        0.33       11.86        0.24     9245.00      0.0000        Good
  102     5718.29      514.88       -5.72       19.08       44.26        4.52     7935.00        -nan        Good
  103        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  104     8499.74      117.27       28.42        0.83       20.19        0.61    11570.00      0.0000        Good
  105        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
  106    12694.27      244.33       36.59        0.30        8.67        0.29     8469.00      0.0000        Good
  107        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  108  4400019.26  1556567.89      -51.46        1.90        1.34        0.24    10007.00        -nan        Good
  109     9294.73      120.30       52.46        0.47       19.88        0.36    14316.00      0.0000        Good
  110    14121.99      161.65       48.03        0.35       16.41        0.26    14857.00      0.0000        Good
  111    16278.37      211.00       43.11        0.26       11.20        0.20    14068.00      0.0000        Good
  112    16122.09      196.87       38.00        0.41       12.73        0.29    12382.00      0.0000        Good
  113    15626.57      203.26       34.62        0.26       11.09        0.19    11774.00      0.0000        Good
  114    14226.59      178.38       39.33        0.38       14.04        0.29    11799.00      0.0000        Good
  115    17755.13      205.80       36.82        0.29       12.69        0.22    15997.00      0.0000        Good
  116    16015.12      198.93       36.06        0.28       11.86        0.20    13953.00      0.0000        Good
  117    48508.04     2624.94        5.57        2.02        1.79        0.44    14012.00      0.0000        Good
  118    14410.42      199.39       33.12        0.23        9.65        0.15    10082.00      0.0000        Good
  119    16160.49      204.29       33.24        0.27       12.17        0.23    12982.00      0.0000        Good
  120    18152.24      308.04       31.98        0.26        7.95        0.27    12263.00      0.0000        Good
  121    21787.89      314.32       36.56        0.24        9.33        0.26    15295.00      0.0000        Good
  122     8500.00       98.18       60.37        0.62       25.17        0.42    13126.00      0.0000        Good
  123    19611.73      317.47       35.31        0.24        8.97        0.29    13395.00      0.0000        Good
  124    14411.60      265.33       34.48        0.27        8.81        0.32     9710.00      0.0000        Good
  125    12625.87      139.61       22.83        1.04       21.27        0.72    15775.00      0.0000        Good
  126    10601.91      168.18       34.17        0.32       11.14        0.23     8036.00      0.0000        Good
  127    16484.49      207.02       34.10        0.25       11.06        0.18    15086.00      0.0000        Good
  128    14287.86      258.09       36.56        0.30        9.37        0.34     9988.00      0.0000        Good
  129        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
  130     8055.59      150.11       24.87        0.38       11.72        0.29     6750.00      0.0000        Good
  131     7472.26      104.23       42.20        0.59       25.44        0.55    13043.00      0.0000        Good
  132        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  133    15660.03      174.99       43.32        0.30       14.99        0.22    15848.00      0.0000        Good
  134    17024.88      190.37       41.37        0.41       14.95        0.31    16182.00      0.0000        Good
  135    58362.77     6821.85       12.11        1.52        3.40        0.11    12168.00      0.0000        Good
  136    10761.61      120.25       48.06        0.51       21.64        0.36    15056.00      0.0000        Good
  137    12956.63      156.15       43.34        0.36       16.29        0.29    14946.00      0.0000        Good
  138    10984.14      133.42       45.29        0.43       18.22        0.31    13302.00      0.0000        Good
  139    13813.10      161.56       44.61        0.36       16.22        0.27    15921.00      0.0000        Good
  140    12866.76      144.40       42.23        0.35       17.78        0.25    15714.00      0.0000        Good
  141    19895.03      223.10       35.32        0.30       13.78        0.27    19156.00      0.0000        Good
  142     9372.49      219.59       15.26        0.28        8.42        0.30     5676.00      0.0000        Good
  143        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  144    14706.54     3449.17        2.25        2.95        3.28        0.20     3877.00      0.0000        Good
  145   757944.37   171136.93     -153.41        4.55        6.33        0.70    12486.00        -nan        Good
  146     8173.37      124.29       36.01        0.46       16.63        0.33     9738.00      0.0000        Good
  147        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  148    33913.05     2215.89        0.63        1.86        7.20        0.19    13554.00      0.0000        Good
  149     8291.01      138.29       27.32        0.43       15.91        0.40     9710.00      0.0000        Good
  150    12949.16      187.27       33.03        0.29       11.31        0.23     9938.00      0.0000        Good
  151        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
  152     8135.68      124.98       37.56        0.83       23.11        0.94     9966.00      0.0000        Good
  153        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
  154    10074.59      147.66       30.35        0.35       12.47        0.23     9126.00      0.0000        Good
  155    12803.26      157.73       33.72        0.42       16.83        0.33    13660.00      0.0000        Good
  156    13086.54      151.51       32.29        0.59       23.19        0.67    16783.00      0.0000        Good
  157        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  158     7962.54      124.55       34.45        0.42       14.20        0.28     7683.00      0.0000        Good
  159        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  160        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  161    11013.24      141.30       34.33        0.57       21.98        0.63    13430.00      0.0000        Good
  162     8489.51      121.06       39.54        0.43       15.95        0.29     9169.00      0.0000        Good
  163        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
  164     9224.10      119.16       42.71        0.54       18.49        0.36    11376.00      0.0000        Good
  165    14534.11      157.16       39.10        0.36       15.80        0.23    14509.00      0.0000        Good
  166        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  167     9228.93      127.87       34.21        0.48       19.98        0.44    12646.00      0.0000        Good
  168     6806.68       86.82       55.63        0.72       33.60        0.67    15523.00      0.0000        Good
  169    13267.64      150.16       49.08        0.49       19.39        0.39    16498.00      0.0000        Good
  170     8124.21       94.96       58.36        0.64       26.01        0.44    13532.00      0.0000        Good
  171    13542.70      145.64       43.31        0.41       18.21        0.28    16448.00      0.0000        Good
  172    13240.30      133.98       47.74        0.42       19.70        0.27    16624.00      0.0000        Good
  173    13143.47      127.83       55.16        0.64       23.15        0.41    16995.00      0.0000        Good
  174    11255.59      178.01       43.10        0.38       13.17        0.37    10706.00      0.0000        Good
  175        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
  176     9267.75      116.48       48.41        0.59       20.40        0.41    11719.00      0.0000        Good
  177        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  178        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  179     7897.32       94.47       53.23        0.57       25.54        0.42    13308.00      0.0000        Good
  180        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  181        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  182    14086.58      181.25       37.47        0.30       12.05        0.21    11005.00      0.0000        Good
  183    10284.91      113.07       51.57        0.47       22.67        0.33    16127.00      0.0000        Good
  184    10931.54      114.68       53.18        0.46       22.01        0.30    16026.00      0.0000        Good
  185    10026.22      106.83       56.87        0.59       25.12        0.40    16446.00      0.0000        Good
  186    14067.64      164.12       44.29        0.40       15.76        0.29    14225.00      0.0000        Good
  187    16101.15      187.67       40.33        0.39       14.56        0.30    15184.00      0.0000        Good
  188    11893.77      136.85       51.04        0.40       19.04        0.30    16165.00      0.0000        Good
  189    12771.15      132.32       52.26        0.47       20.83        0.31    16197.00      0.0000        Good
  190    13631.06      149.46       50.48        0.47       19.29        0.36    16577.00      0.0000        Good
  191        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  192    10850.49      125.47       42.10        0.41       19.80        0.30    14802.00      0.0000        Good
  193     7289.88       83.89       67.43        0.82       32.27        0.59    15225.00      0.0000        Good
  194    12911.25      205.03       40.06        0.26       10.37        0.22    10812.00      0.0000        Good
  195        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  196     5244.65       79.92       46.02        1.07       33.26        1.16    10111.00      0.0000        Good
  197     8057.90      109.65       57.28        1.07       32.98        1.20    13425.00      0.0000        Good
  198     6390.02       91.57       54.47        0.97       31.51        1.02    11282.00      0.0000        Good
  199     7128.79      113.74       36.83        0.49       16.80        0.34     8528.00      0.0000        Good
  200        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  201    11599.67      144.22       46.56        0.41       16.44        0.30    12094.00      0.0000        Good
  202    15202.10      165.36       46.82        0.35       16.38        0.25    15868.00      0.0000        Good
  203        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  204        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  205     6949.40       87.02       61.81        0.75       26.14        0.50    10852.00      0.0000        Good
  206     8643.62      122.21       50.03        0.64       25.41        0.69    13232.00      0.0000        Good
  207     8011.25      105.34       48.07        0.51       20.82        0.35    11559.00      0.0000        Good
  208    13156.20      133.26       51.03        0.52       20.68        0.33    16487.00      0.0000        Good
  209    11610.31      118.35       57.52        0.46       22.86        0.31    17142.00      0.0000        Good
  210    14182.29      180.19       38.50        0.31       12.11        0.21    10967.00      0.0000        Good
  211    14789.88      179.24       40.51        0.41       14.41        0.32    15958.00      0.0000        Good
  212    13629.53      165.54       43.53        0.48       15.10        0.33    12796.00      0.0000        Good
  213    16137.79      188.94       39.76        0.32       12.92        0.22    12792.00      0.0000        Good
  214    17079.93      242.64       39.84        0.25       10.00        0.22    12069.00      0.0000        Good
  215  8205947.77  1320920.80      -71.38        6.13        1.86        0.17    22369.00        -nan        Good
  216    12575.28      156.43       35.86        0.49       18.73        0.45    13971.00      0.0000        Good
  217    10108.91      118.52       61.09        0.54       22.01        0.39    13413.00      0.0000        Good
  218    11695.89      160.10       41.49        0.45       14.07        0.32     9503.00      0.0000        Good
  219     9687.33      129.92       47.64        0.48       17.23        0.35    10294.00      0.0000        Good
  220        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
  221     9095.25      103.66       56.66        0.70       23.55        0.44    12742.00      0.0000        Good
  222    12392.29      187.85       42.72        0.33       12.17        0.29    11191.00      0.0000        Good
  223        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  224     8403.99      126.12       44.76        0.54       16.22        0.40     8628.00      0.0000        Good
  225     8130.31      112.36       53.99        0.54       18.90        0.38    10042.00      0.0000        Good
  226     9998.01      117.88       58.60        0.52       21.34        0.37    13144.00      0.0000        Good
  227        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  228    12539.66      159.96       38.62        0.33       14.96        0.27    14085.00      0.0000        Good
  229    14567.68      170.20       43.36        0.35       14.81        0.25    14353.00      0.0000        Good
  230     6426.21      101.87       44.56        0.49       17.29        0.34     7609.00      0.0000        Good
  231     6921.13      104.39       56.20        1.00       30.41        1.09    11333.00      0.0000        Good
  232        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  233     5679.24       77.96       66.12        0.77       29.84        0.60    11013.00      0.0000        Good
  234     8443.96      102.58       53.33        0.51       21.73        0.33    12303.00      0.0000        Good
  235    13625.04      179.11       26.95        0.30       14.12        0.26    13446.00      0.0000        Good
  236     8572.93      116.85       40.54        0.59       19.36        0.42    10319.00      0.0000        Good
  237     7489.96       94.48       55.35        0.75       23.82        0.49    10639.00      0.0000        Good
  238     7252.55      101.41       62.35        1.24       31.90        1.14    12149.00      0.0000        Good
  239        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  240        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  241        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  242        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
  243     4921.46       67.81       63.92        0.97       38.48        0.95    11678.00      0.0000        Good
  244        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  245     8085.57      110.96       45.81        0.52       18.00        0.34     9636.00      0.0000        Good
  246     6615.98       95.58       47.51        0.52       20.04        0.35     9344.00      0.0000        Good
  247     8691.91      118.52       35.90        0.97       28.18        1.25    12480.00      0.0000        Good
  248     8285.34      134.66       40.30        0.51       14.09        0.38     7650.00      0.0000        Good
  249        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
  250     9264.03      130.20       45.68        0.42       15.66        0.30     9472.00      0.0000        Good
  251        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  252     3659.81       57.57       67.29        1.36       46.61        1.49    10509.00      0.0000        Good
  253     4719.41       65.23       74.83        0.90       34.34        0.64    11434.00      0.0000        Good
  254     6917.56      124.57       35.33        0.36       12.58        0.26     6253.00      0.0000        Good
  255    10261.21      151.61       39.30        0.42       13.40        0.31     9320.00      0.0000        Good
  256        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
  257    10738.81      234.02       35.35        0.31        8.50        0.34     7086.00      0.0000        Good
  258    13830.67      192.55       34.07        0.26       10.74        0.19    12245.00      0.0000        Good
  259     6451.53      108.10       46.29        0.55       16.89        0.42     7420.00      0.0000        Good
  260    10801.91      164.70       35.42        0.32       11.32        0.23    10110.00      0.0000        Good
  261    10745.85      171.16       32.74        0.26        9.65        0.17     7566.00      0.0000        Good
  262    13236.41      156.62       44.82        0.31       14.66        0.22    13196.00      0.0000        Good
  263    13750.97      163.36       53.23        0.35       16.32        0.29    14644.00      0.0000        Good
  264        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
  265    11290.41      247.69       35.10        0.26        7.52        0.26     6949.00      0.0000        Good
  266     6714.95      123.20       39.13        0.49       12.65        0.34     6060.00      0.0000        Good
  267    10805.62      179.55       31.11        0.26        9.27        0.18     7420.00      0.0000        Good
  268    13665.28      201.45       31.62        0.24        9.74        0.17     9653.00      0.0000        Good
  269    12031.11      196.31       29.39        0.21        7.93        0.13     7521.00      0.0000        Good
  270     5261.21       82.48       51.50        0.68       22.25        0.47     8144.00      0.0000        Good
  271     5435.00       87.12       46.96        0.66       20.26        0.44     7755.00      0.0000        Good
  272     9869.93      223.53       35.17        0.30        8.38        0.34     6577.00      0.0000        Good
  273    13219.21      285.04       31.82        0.24        6.96        0.26     7966.00      0.0000        Good
  274    11373.36      161.70       39.22        0.52       13.19        0.35     8831.00      0.0000        Good
  275    15660.84      277.79       35.72        0.25        8.49        0.27    10691.00      0.0000        Good
  276        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
  277     3528.03       76.18       48.41        2.47       36.52        3.55     5400.00      0.0000        Good
  278     4204.36      120.52       28.63        0.36        8.21        0.26     2684.00      0.0000        Good
  279     5028.92      124.81       30.75        0.38        9.32        0.27     4186.00      0.0000        Good
  280     5296.01       93.12       20.67        1.42       19.02        0.87     6118.00      0.0000        Good
  281     3931.67      106.17       34.30        0.46       12.50        0.41     3626.00      0.0000        Good
  282     7951.12      135.85       29.19        0.50       11.66        0.31     5724.00      0.0000        Good
  283     5356.76      135.23       21.68        0.41       10.37        0.33     4208.00      0.0000        Good
  284     6217.98      119.67       28.18        0.45       11.62        0.29     4679.00      0.0000        Good
  285     3882.17       81.10       40.96        0.68       17.54        0.50     4714.00      0.0000        Good
  286     4036.47       71.91       56.51        0.77       23.45        0.57     6166.00      0.0000        Good
  287     4256.68       74.52       56.05        0.71       23.58        0.59     7224.00      0.0000        Good
