Run Number: 183 Desired Peak Position: 78.355
Module   Target HV   Stat   ErrStat   Peak Pos   ErrPPos   Peak Width   ErrPWid   NGoodEvents    Flag 
   39     2270.60       51.87       53.04        0.97       23.26        0.65     3854.00   1538.8198        Good
   40     2092.58       59.14       38.30        0.85       16.48        0.56     2451.00   2045.4839        Good
   41        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   42        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
   43      707.86       38.78       36.84        1.12       14.65        0.89      819.00   2174.1504        Good
   44        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   45     3323.49       75.91       47.95        0.86       18.21        0.67     3979.00   1503.6698        Good
   46     4514.12      114.68       41.37        0.53       12.03        0.50     4132.00   1519.2188        Good
   47        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
   48     2934.20       71.67       34.52        0.68       16.04        0.50     3281.00   1536.9979        Good
   49     3364.08       66.37       50.33        0.83       21.12        0.56     4623.00   1537.3003        Good
   50     3685.67       68.77       50.81        0.82       21.84        0.56     5164.00   1607.7882        Good
   51     4511.26       96.33       40.96        0.56       14.56        0.43     5072.00   1538.7559        Good
   52     3644.33       82.18       38.27        0.61       14.73        0.42     3562.00   1891.9618        Good
   53     1900.35       51.01       48.23        1.19       19.51        0.73     2367.00   1998.4469        Good
   54        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
   55      701.90       97.02        4.87        7.59       10.62        1.84      404.00   3327.9950        Good
   56     7040.26      112.99       23.54        0.60       15.81        0.41     7646.00   1549.9551        Good
   57     4014.63       74.61       50.86        0.89       22.92        0.68     5473.00   1521.9691        Good
   58     4554.56       89.73       47.38        0.68       17.06        0.50     5257.00   1507.5867        Good
   59     3177.87       63.54       47.18        0.79       22.89        0.61     4990.00   1599.0514        Good
   60        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   61     3317.70       76.73       45.13        0.75       16.57        0.56     4138.00   1502.1552        Good
   62     2952.43       63.44       53.21        1.00       21.35        0.68     3993.00   1542.9808        Good
   63     3924.85       89.04       41.60        0.57       14.16        0.41     3856.00   1525.7010        Good
   64     2319.63       58.29       47.43        1.36       26.80        1.39     3661.00   2313.9842        Good
   65     2367.30       68.91       40.37        0.71       14.18        0.53     2513.00   1995.7239        Good
   66     3343.11       78.01       35.37        0.65       15.36        0.47     3425.00   2004.8352        Good
   67     2839.44       80.20       36.09        0.54       11.88        0.37     2580.00   2345.4147        Good
   68     2598.95       49.70       82.50        1.16       32.78        0.91     5728.00   1496.1372        Good
   69     2406.04       48.49       68.50        1.33       35.70        1.16     5659.00   1518.9906        Good
   70     2935.75       56.11       60.92        1.06       27.23        0.76     5206.00   1558.4145        Good
   71     3591.45       71.21       46.00        0.82       20.56        0.58     4911.00   1509.2431        Good
   72     9913.47     6861.60      -12.59       13.92        8.36        1.25     2879.00        -nan        Good
   73     3408.08       87.35       20.93        1.04       17.18        0.81     4036.00   1626.6141        Good
   74     1343.33       28.46      101.42        1.84       50.67        1.25     5504.00   1608.1223        Good
   75     4346.54      125.11       21.65        0.45       10.84        0.39     3924.00   1622.5295        Good
   76     3725.87       90.92       31.41        0.79       18.16        0.76     4470.00   2614.9395        Good
   77      790.44       41.85       57.91        2.50       15.79        1.72      834.00   2335.6358        Good
   78     4161.87       89.06       32.33        0.56       14.94        0.42     4242.00   2172.1855        Good
   79     2566.13       64.95       42.21        0.73       16.69        0.50     3010.00   2476.4444        Good
   80     4381.36       96.26       41.62        0.76       14.55        0.55     4536.00   1477.9426        Good
   81        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   82     3919.27       90.62       41.72        0.55       13.80        0.39     3792.00   1504.2947        Good
   83     2119.75       53.65       47.18        1.02       22.80        0.78     3385.00   1503.9445        Good
   84     2857.30       65.71       27.82        1.56       23.07        1.28     3771.00   1524.7422        Good
   85     3260.10       73.47       47.63        1.06       26.61        1.22     5207.00   1506.9165        Good
   86     3530.06       65.27       56.91        0.89       23.86        0.62     5597.00   1522.4685        Good
   87     3161.85       70.23       45.06        0.73       17.83        0.50     3818.00   1486.4971        Good
   88     3796.33       85.08       43.50        0.63       15.26        0.47     4628.00   2010.1974        Good
   89     1383.25       48.78       38.71        0.99       18.36        0.82     1927.00   1973.2274        Good
   90     4748.74      111.95       35.15        0.60       11.33        0.43     3509.00   1983.3773        Good
   91     5800.78      129.58       33.05        0.40       10.34        0.29     4220.00   2205.5558        Good
   92     4621.30       86.03       45.33        0.80       18.44        0.55     5237.00   1496.0362        Good
   93     3566.74       69.36       50.84        0.82       21.79        0.59     5241.00   1517.7316        Good
   94     3504.45       76.39       47.63        0.96       25.10        1.04     5342.00   1534.9788        Good
   95     3879.74       81.83       34.38        0.59       16.16        0.43     4388.00   1554.7139        Good
   96        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
   97     3428.83       83.51       41.17        0.57       13.70        0.41     3323.00   1490.2723        Good
   98        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   99     2794.78       61.57       50.87        0.96       20.30        0.63     3707.00   1486.2426        Good
  100     5181.03      127.98       40.21        0.44       10.99        0.41     4443.00   2346.1706        Good
  101     2851.89       75.99       36.48        0.61       13.46        0.41     2679.00   2155.8864        Good
  102     1803.85       56.96       21.88        8.69       38.94        5.33     2961.00   2753.6885        Good
  103     2113.83       56.57       36.10        1.14       22.00        1.01     3048.00   2490.8082        Good
  104     3098.78       71.59       28.71        1.19       19.94        0.96     4098.00   1502.0432        Good
  105     5268.57      126.30       40.40        0.42       10.72        0.36     3942.00   1485.8539        Good
  106     5764.25      164.25       36.99        0.44        8.50        0.41     3849.00   1531.3126        Good
  107     3173.27       64.59       46.23        0.83       23.17        0.66     4939.00   1524.9954        Good
  108        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
  109        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  110     4926.10       96.46       46.81        0.54       15.67        0.41     5110.00   1504.6981        Good
  111     5608.90      123.53       43.44        0.44       11.27        0.34     4870.00   1499.5804        Good
  112     5279.58      112.72       37.05        0.51       12.21        0.37     4557.00   1891.3912        Good
  113     4768.90      111.08       34.41        0.45       10.78        0.32     3934.00   1965.6395        Good
  114     4694.69      101.47       36.66        0.43       12.18        0.30     4298.00   2110.7193        Good
  115     5062.62       97.68       37.36        0.65       15.72        0.46     5038.00   2164.6648        Good
  116     5335.36      100.00       39.62        0.70       16.46        0.50     5360.00   1448.6938        Good
  117     5364.85      114.89       36.02        0.48       11.87        0.35     4681.00   1535.1053        Good
  118     6441.89      129.37       34.36        0.39       10.77        0.27     4780.00   1508.3654        Good
  119     5327.96      115.95       33.21        0.46       11.86        0.36     4814.00   1540.9696        Good
  120     6253.78      139.73       29.61        0.33        9.35        0.25     4352.00   1519.9564        Good
  121     6992.35      132.86       35.12        0.38       10.95        0.26     6546.00   1537.4249        Good
  122     2795.26       57.52       61.41        1.09       24.76        0.75     4263.00   1531.1062        Good
  123     5904.97      121.88       34.56        0.41       11.07        0.29     4900.00   1542.3912        Good
  124     6541.50      134.36       32.55        0.33        9.54        0.22     4586.00   1815.0665        Good
  125     5580.58      124.62       32.04        0.37        9.86        0.26     3990.00   2034.9415        Good
  126     4667.71      112.13       33.57        0.45       10.58        0.32     3781.00   2082.6413        Good
  127     4706.46      110.56       34.74        0.50       11.73        0.39     4595.00   2044.3482        Good
  128     2997.50       69.87       29.10        1.15       20.00        0.96     3967.00   1488.6063        Good
  129     4641.23      115.26       32.09        0.40        9.50        0.27     3227.00   1451.7530        Good
  130     4395.47      135.42        9.42        2.61       14.60        1.00     3673.00   1664.1727        Good
  131     1722.65       43.88       54.05        1.39       33.39        1.31     4122.00   1585.4885        Good
  132        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
  133     4896.43       97.02       43.72        0.52       15.12        0.39     5012.00   1477.4847        Good
  134     4594.94       96.41       42.12        0.52       14.25        0.38     4548.00   1526.0742        Good
  135        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
  136     3685.56       71.06       46.12        0.75       20.95        0.53     5141.00   2152.5757        Good
  137     3929.43       81.20       41.97        0.57       16.80        0.41     4680.00   2179.0578        Good
  138     3545.29       74.76       43.66        0.67       18.18        0.49     4564.00   2193.0305        Good
  139     4163.66       81.02       44.39        0.63       18.36        0.46     5189.00   2375.4695        Good
  140     4189.94       79.33       45.48        0.73       19.96        0.54     5621.00   1511.7376        Good
  141     6005.52      114.66       37.14        0.39       12.55        0.28     5604.00   1524.5101        Good
  142     4758.33       97.11       43.23        0.51       14.56        0.37     4786.00   1520.5829        Good
  143     4009.71       76.01       38.38        0.91       24.12        0.86     6005.00   1523.7405        Good
  144     8721.52     1046.15        5.63        4.62        1.95        1.12     1935.00   1809.5063        Good
  145     2013.06       51.41       34.59        1.92       30.57        1.41     4298.00   1643.7808        Good
  146     1982.99       65.19       27.20        1.16       19.21        1.22     2532.00   1621.4994        Good
  147        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
  148    10427.08      469.97        4.28        1.56        6.21        0.31     4424.00   3710.6843        Good
  149     2399.38       67.60       22.95        1.43       19.18        1.08     3122.00   2597.4500        Good
  150     3713.92       83.01       26.51        0.70       15.60        0.52     4284.00   2524.6457        Good
  151        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
  152     2809.67       70.36       33.63        1.23       22.79        1.35     3710.00   1497.9957        Good
  153        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
  154     4010.58       91.18       32.19        0.50       12.99        0.32     3914.00   1554.7174        Good
  155     4599.88       93.76       33.54        0.63       17.24        0.52     5603.00   1552.0017        Good
  156  1378232.67   621803.61     -113.09       13.17        3.46        0.75     6466.00        -nan        Good
  157     2913.53       61.87       50.05        1.15       24.25        0.85     4552.00   1496.4241        Good
  158     3156.67       68.87       45.00        0.91       18.88        0.61     3852.00   1524.7634        Good
  159     3487.33       77.32       45.73        0.67       17.56        0.51     4278.00   1500.6167        Good
  160     2941.29      195.07        7.92       18.98       43.08        8.83     3771.00   2595.6715        Good
  161        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  162     2924.98       70.44       38.49        0.71       15.36        0.45     3254.00   1870.3232        Good
  163        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  164     3434.09       73.10       42.06        0.77       18.29        0.52     4233.00   1510.1287        Good
  165     6151.68      100.67       40.69        0.58       16.37        0.37     6212.00   1510.1227        Good
  166     4804.78       89.66       39.75        0.74       17.75        0.52     5490.00   1529.5953        Good
  167     4393.19       88.74       36.83        0.66       17.81        0.50     5678.00   1579.3195        Good
  168     2466.16       50.73       50.42        1.38       35.65        1.26     5864.00   1622.2070        Good
  169     4335.34       76.87       49.12        0.76       20.52        0.51     5552.00   1509.9905        Good
  170     2535.34       52.18       59.90        1.01       25.04        0.65     4301.00   1510.5522        Good
  171     3793.98       77.74       43.88        0.82       19.67        0.62     4571.00   1553.5841        Good
  172     4440.63       78.01       47.79        0.70       19.69        0.46     5592.00   2141.2734        Good
  173     4619.50       84.78       50.79        0.61       18.77        0.46     5864.00   1869.0317        Good
  174     4097.39       90.75       41.35        0.58       14.79        0.44     4431.00   2262.7504        Good
  175        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  176     3671.73       75.37       48.01        0.77       19.81        0.57     4674.00   1515.6813        Good
  177        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  178     3140.06       69.01       44.06        1.05       26.75        1.16     5155.00   1497.0827        Good
  179        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  180        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
  181     2287.89       52.81       80.43        9.19       51.77        7.82     3555.00   1523.0059        Good
  182     4619.73      100.49       36.26        0.41       11.69        0.27     4200.00   1482.6707        Good
  183     3585.65       85.69       31.85        0.69       16.38        0.56     4046.00   1557.6154        Good
  184     3875.15       70.28       48.27        0.85       25.72        0.74     6535.00   2123.4497        Good
  185     3309.44       62.10       55.20        0.85       24.47        0.59     5609.00   2169.3836        Good
  186     4701.95       96.61       43.75        0.55       14.65        0.39     4663.00   1891.6248        Good
  187     5763.64      131.59       39.88        0.41       10.81        0.35     5030.00   2095.4533        Good
  188     3855.79       70.13       50.98        0.69       21.21        0.47     5622.00   1567.9545        Good
  189     4366.70       76.86       53.53        0.83       21.41        0.56     5955.00   1550.9114        Good
  190     4079.35       81.97       49.13        0.59       17.66        0.45     5073.00   1533.8858        Good
  191        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
  192     3726.35       72.91       41.84        0.72       20.44        0.54     5378.00   1571.0393        Good
  193     2411.49       47.70       69.46        1.35       32.75        0.98     5229.00   1512.3295        Good
  194     3747.29       88.92       40.07        0.50       12.82        0.35     3509.00   1541.7910        Good
  195        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  196     1932.65       49.40       47.08        6.61       59.08       14.94     3367.00   2407.0170        Good
  197     3821.61       76.46       52.20        0.72       19.50        0.54     5596.00   2291.2608        Good
  198     2555.47       56.11       50.39        0.85       23.33        0.63     4286.00   2377.2398        Good
  199     2513.79       65.70       37.76        0.81       17.98        0.60     3384.00   2528.0505        Good
  200     3373.85       72.78       55.63        1.16       29.67        1.32     6175.00   1472.0212        Good
  201     3840.24       75.99       46.64        0.68       18.42        0.47     4693.00   1553.2906        Good
  202     4727.27       89.98       48.41        0.71       17.72        0.53     5523.00   1491.8058        Good
  203        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  204        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
  205     2581.17       54.89       58.57        0.90       24.48        0.65     4378.00   1603.7858        Good
  206     3258.44       67.92       53.51        0.96       21.41        0.68     4183.00   1481.8224        Good
  207     2820.67       58.98       53.39        0.90       22.92        0.62     4437.00   1558.3850        Good
  208        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  209     3532.97       64.84       57.96        0.83       22.77        0.55     5429.00   1804.6175        Good
  210     4732.14      103.95       38.41        0.53       12.23        0.37     3706.00   1847.7198        Good
  211        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  212     4763.79       98.43       42.46        0.58       14.35        0.42     4614.00   1464.4998        Good
  213     5665.62      132.95       39.84        0.38       10.09        0.31     4120.00   1514.3386        Good
  214     7086.70      125.08       40.31        0.49       13.14        0.34     5671.00   1477.9942        Good
  215     6930.81      111.30       35.73        0.53       17.07        0.41     7451.00   1584.0061        Good
  216     4155.21       86.85       33.85        0.69       18.27        0.62     4871.00   1508.2329        Good
  217     4678.65       96.71       41.47        0.49       14.01        0.36     4598.00   1642.3490        Good
  218     4664.61      115.76       42.30        0.49       11.48        0.42     4082.00   1470.0600        Good
  219     3155.01       74.56       48.90        0.93       23.32        0.94     4640.00   1522.2224        Good
  220        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
  221     3279.29       64.44       55.11        0.93       22.11        0.61     4529.00   2171.7270        Good
  222     4146.76       92.64       41.92        0.52       13.60        0.37     3988.00   2019.4351        Good
  223        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  224     3128.72       76.54       44.55        0.70       15.51        0.51     3205.00   1438.4268        Good
  225     3381.66       76.38       54.04        0.62       16.34        0.45     4005.00   1516.2915        Good
  226     3278.90       65.47       58.67        0.84       22.82        0.61     4877.00   1488.2188        Good
  227        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  228     4295.55       92.65       39.96        0.55       14.84        0.43     4805.00   1521.2818        Good
  229     4265.74       89.46       45.17        0.59       15.39        0.43     4344.00   1450.5964        Good
  230     2499.59       63.33       47.46        0.88       19.33        0.67     3317.00   1516.8854        Good
  231     2556.70       66.92       55.35        1.43       27.45        1.50     4244.00   1534.7029        Good
  232        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  233     2216.49       46.80       66.24        1.10       26.91        0.71     4015.00   2012.1212        Good
  234     2526.90       58.10       53.08        1.00       21.42        0.68     3650.00   2071.7668        Good
  235        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
  236     2235.94       49.66       60.68        1.01       24.77        0.68     3785.00   1519.6258        Good
  237     2667.47       57.54       58.65        0.99       23.73        0.71     4218.00   1486.3357        Good
  238     2630.22       63.21       53.48        1.00       26.55        1.06     4629.00   1524.2085        Good
  239        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  240        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  241     1594.02       43.97       66.97        1.81       34.62        1.83     3481.00   1521.8066        Good
  242     2459.00       66.70       41.42        0.97       17.59        0.74     2824.00   1449.4602        Good
  243     1427.40       35.67       72.06        1.50       32.58        1.07     3173.00   1549.8630        Good
  244        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  245     2590.84       63.36       44.60        0.78       17.26        0.51     3053.00   1825.9600        Good
  246     2310.31       55.95       47.87        0.84       20.01        0.56     3489.00   2349.3910        Good
  247        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  248     2690.61       73.51       40.25        0.64       13.69        0.45     2784.00   1495.0423        Good
  249     4298.27       94.30       40.96        0.53       14.31        0.40     4277.00   1510.6830        Good
  250     3684.68       82.18       46.73        0.66       15.42        0.46     3708.00   1514.9376        Good
  251        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  252     1274.36       33.87       71.19        1.86       38.56        1.56     3302.00   1607.1307        Good
  253     1532.55       36.27       76.98        1.65       34.45        1.11     3722.00   1499.1504        Good
  254     3518.66       87.91       37.47        0.51       12.66        0.37     3289.00   1451.3573        Good
  255     3812.24      109.32       39.72        0.48       10.44        0.42     3225.00   1464.0909        Good
  256        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
  257     3238.89       93.90       34.07        0.64       10.39        0.43     2304.00   1711.7021        Good
  258     4687.74      109.46       34.93        0.48       11.24        0.35     4340.00   1856.9934        Good
  259     2590.00       61.60       46.31        0.82       18.79        0.56     3240.00   2072.8495        Good
  260     4213.68      100.25       37.44        0.55       12.03        0.39     3288.00   1498.5907        Good
  261     4989.93      112.73       36.57        0.64       12.06        0.46     3785.00   1477.6103        Good
  262     4324.44       87.57       48.44        0.67       16.71        0.49     4531.00   1487.7893        Good
  263     4386.82       89.92       56.74        0.69       18.10        0.58     5506.00   1451.1616        Good
  264        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
  265     3573.51      135.45       36.62        0.54        8.06        0.50     2273.00   1476.7278        Good
  266     2781.03       77.08       37.73        0.56       12.51        0.39     2976.00   1473.5010        Good
  267     3440.22      101.56       31.47        0.47        9.48        0.33     2577.00   1484.1325        Good
  268     4355.51      111.29       32.20        0.43        9.90        0.30     3420.00   2133.9455        Good
  269     3337.13       98.15       31.02        0.56       11.38        0.46     2503.00   1722.4446        Good
  270     1816.32       48.08       53.68        1.16       23.14        0.79     2878.00   2272.6075        Good
  271     1369.15       43.56       47.07        1.10       18.74        0.68     1933.00   2301.6822        Good
  272     2893.27       88.34       34.13        0.56       10.41        0.39     2699.00   1467.3528        Good
  273     3539.72      109.79       29.87        0.46        8.43        0.32     2231.00   1478.5773        Good
  274     4082.65       99.62       36.65        0.51       11.03        0.34     3018.00   1515.6346        Good
  275     4592.36      108.32       33.19        0.47       11.41        0.36     4033.00   1477.3696        Good
  276        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  277     1281.59       44.78       42.19        1.02       17.08        0.70     1544.00   1605.7477        Good
  278     2233.15       85.71       30.02        0.52        8.36        0.35     1825.00   1546.1935        Good
  279     1617.55       58.65       32.05        0.74       12.63        0.51     1502.00   1546.6469        Good
  280     2544.24       82.15       32.77        0.57       10.24        0.40     2052.00   2059.0408        Good
  281     1586.71       55.54       33.65        0.80       13.46        0.54     1530.00   1913.7323        Good
  282     2701.46       79.65       29.91        0.66       11.78        0.45     2050.00   2333.4666        Good
  283     1759.17       77.75       21.88        0.76       11.06        0.67     1551.00   2706.7036        Good
  284     1921.00       67.40       27.90        0.77       11.37        0.51     1551.00   1525.8572        Good
  285     1482.00       48.77       40.39        0.93       17.15        0.65     1941.00   1509.0850        Good
  286     1520.70       48.92       55.75        1.01       19.87        0.80     2313.00   1509.6972        Good
  287     1352.07       37.25       57.49        1.44       27.16        1.04     2465.00   1563.1630        Good
