#Target HV settings for run 12099 from hcal_gain_match.C on Thu Nov 18 22:21:11 2021
#
#Row Col targetHVUnlimited targetHV setHV Error
8 3 -1342.05 -1342.05 -1350.36 Good
8 4 -1645.54 -1645.54 -1661.07 Good
8 5 -1118.01 -1118.01 -1189.76 Good
8 6 -3540.84 -3540.84 -3231.28 Good
8 7 -1668.64 -1668.64 -1683.97 Good
8 8 -1314.2 -1314.2 -1326.3 Good
8 9 -1325.5 -1325.5 -1336.56 Narrow
8 10 -1405.17 -1405.17 -1409.38 Narrow
8 11 -1317.65 -1317.65 -1337.58 Good
9 0 -1682.17 -1682.17 -1658.98 Good
9 1 -1403.43 -1403.43 -1409.86 Good
9 2 -1370.48 -1370.48 -1375.81 Big_error
9 3 -1389.64 -1389.64 -1389.88 Narrow
9 4 -1388.6 -1388.6 -1398.65 Big_error
9 5 -1274.66 -1274.66 -1316.62 Good
9 6 -1350.05 -1350.05 -1381.75 Good
9 7 -1146.56 -1146.56 -1219.11 Good
9 8 -1322.99 -1322.99 -1328.96 Good
9 9 -1351.67 -1351.67 -1370.65 Good
9 10 -1324.66 -1324.66 -1338.96 Good
9 11 -1373.08 -1373.08 -1378.12 Narrow
10 0 -1347.63 -1347.63 -1356.85 Good
10 1 -1362.41 -1362.41 -1373.49 Good
10 2 -1391.5 -1391.5 -1397.57 Good
10 3 -1408.86 -1408.86 -1413.89 Good
10 4 -1205.2 -1205.2 -1230.27 Good
10 5 -1324.68 -1324.68 -1360.23 Good
10 6 -1367.36 -1367.36 -1390.59 Good
10 7 -1143.53 -1143.53 -1193.54 Good
10 8 -1323.93 -1323.93 -1334.58 Good
10 9 -1313.93 -1313.93 -1319.78 Good
10 10 -1455.73 -1455.73 -1460.97 Good
10 11 -1434.36 -1434.36 -1446.69 Good
11 0 -1365.92 -1365.92 -1382.01 Good
11 1 -1299.1 -1299.1 -1313.48 Good
11 2 -1382.56 -1382.56 -1389.17 Good
11 3 -1424.49 -1424.49 -1436.65 Good
11 4 -1399.22 -1399.22 -1442.18 Good
11 5 -1391.48 -1391.48 -1429.01 Good
11 6 -1480.68 -1480.68 -1500.64 Good
11 7 -1317.28 -1317.28 -1384.09 Good
11 8 -1386.82 -1386.82 -1393.44 Good
11 9 -1380.9 -1380.9 -1384.91 Good
11 10 -1375.05 -1375.05 -1379.45 Good
11 11 -1364.94 -1364.94 -1375.26 Good
12 0 -1589.09 -1589.09 -1592.15 Good
12 1 -1502.78 -1502.78 -1509.75 Good
12 2 -1450.94 -1450.94 -1462.46 Good
12 3 -2197.04 -2197.04 -2047.04 Good
12 4 -2585.27 -2500 -2500 HV_MAX
12 5 -2164.95 -2164.95 -2122.72 Good
12 6 -1761.87 -1761.87 -1774.78 Good
12 7 -1511.88 -1511.88 -1547.3 Good
12 8 -1374.35 -1374.35 -1377.62 Good
12 9 -1417.87 -1417.87 -1409.11 Good
12 10 -1399.35 -1399.35 -1407.58 Good
12 11 -1378.51 -1378.51 -1388.12 Good
13 0 -1406.92 -1406.92 -1417.19 Good
13 1 -1407.67 -1407.67 -1412.49 Good
13 2 -1460.84 -1460.84 -1464.57 Good
13 3 -1321.71 -1321.71 -1338.24 Good
13 4 -1346.09 -1346.09 -1432.35 Good
13 5 -1685.8 -1685.8 -1716.64 Good
13 6 -1331 -1331 -1358.09 Good
13 7 -1449.56 -1449.56 -1481.84 Good
13 8 -1380.06 -1380.06 -1386.51 Good
13 9 -1376.3 -1376.3 -1384.19 Good
13 10 -1393.35 -1393.35 -1401.59 Good
13 11 -1423.86 -1423.86 -1431.22 Good
14 0 -1472.63 -1472.63 -1481.54 Good
14 1 -1399.89 -1399.89 -1402.75 Good
14 2 -1377.39 -1377.39 -1389.01 Good
14 3 -1423.57 -1423.57 -1430.15 Good
14 4 -1598.32 -1598.32 -1612.12 Good
14 5 -1201.06 -1201.06 -1244.04 Good
14 6 -1367.98 -1367.98 -1428.32 Good
14 7 -1479.96 -1479.96 -1505.67 Good
14 8 -1381.48 -1381.48 -1389.23 Good
14 9 -1534.35 -1534.35 -1552.95 Good
14 10 -1348.65 -1348.65 -1357.86 Good
14 11 -1402.12 -1402.12 -1403.35 Good
15 0 -1351.24 -1351.24 -1360.21 Good
15 1 -1365.77 -1365.77 -1382.63 Good
15 2 -1341.24 -1341.24 -1348.42 Good
15 3 -1407.74 -1407.74 -1409.78 Good
15 4 -1363.56 -1363.56 -1405.1 Good
15 5 -1531.09 -1531.09 -1581.8 Good
15 6 -1310.44 -1310.44 -1341.48 Good
15 7 -1332.3 -1332.3 -1377.02 Good
15 8 -1434.2 -1434.2 -1438.92 Good
15 9 -1425.73 -1425.73 -1432.32 Good
15 10 -1375.68 -1375.68 -1386.18 Good
15 11 -1332.01 -1332.01 -1345.71 Good
16 0 -1363.24 -1363.24 -1380.01 Good
16 1 -1445.95 -1445.95 -1433.64 Good
16 2 -1407.6 -1407.6 -1414.93 Good
16 3 -1394.14 -1394.14 -1399.58 Good
16 4 -1722.2 -1722.2 -1770.56 Good
16 5 -1415.88 -1415.88 -1423.36 Good
16 6 -1823 -1823 -1831.88 Good
16 7 -1746.08 -1746.08 -1802.66 Good
16 8 -1302.35 -1302.35 -1318.25 Good
16 9 -1340.48 -1340.48 -1363.78 Good
16 10 -1342.84 -1342.84 -1352.69 Good
16 11 -1588.69 -1588.69 -1592.21 Good
17 0 -1384.02 -1384.02 -1396.73 Good
17 1 -1400.98 -1400.98 -1415.19 Good
17 2 -1380.35 -1380.35 -1388.07 Good
17 3 -1496.18 -1496.18 -1494.72 Good
17 4 -1293.67 -1293.67 -1342.26 Good
17 5 -1341.35 -1341.35 -1353.06 Good
17 6 -1252.31 -1252.31 -1282.22 Good
17 7 -1642.19 -1642.19 -1669.83 Good
17 8 -1316.13 -1316.13 -1325.9 Good
17 9 -1382.76 -1382.76 -1387.8 Good
17 10 -1349.52 -1349.52 -1355.76 Good
17 11 -1391.99 -1391.99 -1405.01 Good
18 0 -1344.94 -1344.94 -1355.88 Good
18 1 -1632.83 -1632.83 -1604.33 Good
18 2 -1347.95 -1347.95 -1353.26 Good
18 3 -1365.28 -1365.28 -1376.3 Good
18 4 -1416.58 -1416.58 -1419.68 Good
18 5 -1375.28 -1375.28 -1422.52 Good
18 6 -1164.02 -1164.02 -1221.65 Good
18 7 -1407.59 -1407.59 -1424.51 Good
18 8 -1249.09 -1249.09 -1259.73 Good
18 9 -1350.39 -1350.39 -1360.4 Good
18 10 -1355.69 -1355.69 -1363.94 Good
18 11 -1417.06 -1417.06 -1421.74 Good
19 0 -1342.62 -1342.62 -1357.04 Narrow
19 1 -1340.31 -1340.31 -1344.12 Good
19 2 -1394.26 -1394.26 -1399.35 Good
19 3 -1373.59 -1373.59 -1383.74 Good
19 4 -2274.51 -2274.51 -2149.29 Good
19 5 -1517.46 -1517.46 -1527.37 Good
19 6 -1443.12 -1443.12 -1477.86 Good
19 7 -1597.84 -1597.84 -1673.92 Good
19 8 -1391.34 -1391.34 -1396.22 Good
19 9 -1394.63 -1394.63 -1397.56 Good
19 10 -1410.84 -1410.84 -1412.32 Good
19 11 -1438.53 -1438.53 -1435.6 Good
20 0 -1451.71 -1451.71 -1461.94 Good
20 1 -1415.25 -1415.25 -1418.43 Good
20 2 -1647.11 -1647.11 -1675.91 Good
20 3 -1450.97 -1450.97 -1449.32 Good
20 4 -1503.86 -1503.86 -1553.88 Good
20 5 -1191 -1191 -1225.06 Good
20 6 -1602.84 -1602.84 -1624.05 Good
20 7 -1627.21 -1627.21 -1646.34 Good
20 8 -1355.63 -1355.63 -1362.08 Good
20 9 -1322.7 -1322.7 -1340.43 Good
20 10 -1327.31 -1327.31 -1344.1 Good
20 11 -1419.55 -1419.55 -1421.2 Good
21 0 -1501.43 -1501.43 -1498.48 Good
21 1 -1322.16 -1322.16 -1338.11 Good
21 2 -1318.99 -1318.99 -1326.36 Good
21 3 -1345.59 -1345.59 -1349.23 Good
21 4 -1426.67 -1426.67 -1443.29 Good
21 5 -1277.19 -1277.19 -1276.92 Good
21 6 -1225.6 -1225.6 -1247.1 Good
21 7 -1295.35 -1295.35 -1338.32 Good
21 8 -1346.06 -1346.06 -1354.41 Good
21 9 -1248.14 -1248.14 -1271.58 Good
21 10 -1317.06 -1317.06 -1329.75 Good
21 11 -1193.72 -1193.72 -1224.36 Good
22 0 -1527.12 -1527.12 -1528.54 Good
22 1 -1358.53 -1358.53 -1362.37 Narrow
22 2 -1352.42 -1352.42 -1356.61 Good
22 3 -1332.16 -1332.16 -1341.39 Good
22 4 -1271.29 -1271.29 -1337.61 Big_error
22 5 -1196.69 -1196.69 -1206.18 Good
22 6 -1664.78 -1664.78 -1670.36 Good
22 7 -1569.37 -1569.37 -1590.45 Good
22 8 -1328.86 -1328.86 -1336.46 Narrow
22 9 -1311.95 -1311.95 -1323.17 Good
22 10 -1395.82 -1395.82 -1398.42 Good
22 11 -1322.82 -1322.82 -1331.62 Good
23 0 -1313.35 -1313.35 -1331.49 Good
23 1 -1455.67 -1455.67 -1462.88 Good
23 2 -1388.97 -1388.97 -1399.11 Good
23 3 -1367.14 -1367.14 -1381.07 Good
23 4 -1453.8 -1453.8 -1480.14 Good
23 5 -1173.63 -1173.63 -1209.12 Good
23 6 -1627.61 -1627.61 -1635.6 Good
23 7 -2072.1 -2072.1 -2094.89 Good
23 8 -1398.81 -1398.81 -1400.09 Good
23 9 -1380.35 -1380.35 -1385.34 Good
23 10 -1377.35 -1377.35 -1384.01 Good
23 11 -1430.66 -1430.66 -1434.31 Good
